"FIPS","County","State","Pop.in.Juvenile.Facilities..2010.","Pop.in.Mental..psych..hosp..2010.","ST.inpt.days.psych..2019.","ST.inpt.days.rehab..2019.","LT.inpt.days.gen.med..2019.","LT.inpt.days.in.psych..2019.","LT.inpt.days.rehab..2019.","Emergency.dept.visits..2019.","X3.yr.suicides..2017.2019.","Pop.est..2019.","Census.pop..2010.","Median.age..2010.","pct.white..2010.","pct.black..2010.","pct.am.ind..2010.","pct.asian..2010.","pct.PI..2010.","pct...2.race..2010.","pct.other..2010.","pct.urban.pop..2010.","med.HH.income..2019.est.","persons.in.poverty..2019.est.","no.HH..2010.","X..single.parent.HH..2010.","pct.25..hs.dip..15.19.","pct.25..hs.dip.or.mas..15.19.","pct.25..4yr.college..15.19.","no_obs","skateparks","Name","Deaths","Population","CrudeRate"
48001,"Anderson","TX",0,0,0,0,0,0,0,30711,19,57735,58458,39.1,66.1,21.1,0.4,0.5,0,1.7,10.2,32.9,48461,8702,17218,2145,18.7,81.3,10.6,NA,0,"Anderson County, TX",13819,1256976,"1099.4"
48003,"Andrews","TX",0,0,0,0,0,0,0,9307,NA,18705,14786,33.4,79.5,1.5,1,0.6,0,2,15.5,83.5,74918,1888,5259,625,27.7,72.3,12.2,1,1,"Andrews County, TX",2705,336436,"804.0"
48005,"Angelina","TX",11,0,6776,0,0,0,0,64544,13,86715,86771,36.3,72.1,15,0.5,0.9,0,1.8,9.8,56.9,51750,13131,31090,4239,18.1,81.9,16.9,1,1,"Angelina County, TX",18725,1867950,"1002.4"
48007,"Aransas","TX",3,0,0,0,0,0,0,0,NA,23510,23158,49,87.4,1.3,0.7,2,0,2.3,6.3,72.7,53085,4313,9795,891,15.5,84.5,21.9,1,1,"Aransas County, TX",6995,519808,"1345.7"
48009,"Archer","TX",0,0,0,0,0,0,0,0,NA,8553,9054,42.6,93.9,0.4,0.7,0.2,0,1.5,3.3,11,63731,877,3538,254,9.7,90.3,23.9,NA,0,"Archer County, TX",1718,194894,"881.5"
48011,"Armstrong","TX",0,0,0,0,0,0,0,0,NA,1887,1901,46.2,93.3,0.6,0.8,0,0,1.1,4.2,0,64424,194,751,46,13.1,86.9,22.8,NA,0,"Armstrong County, TX",619,43288,"1430.0"
48013,"Atascosa","TX",0,8,0,0,0,0,0,21051,NA,51153,44911,36.2,84.9,0.8,0.8,0.3,0.1,2.3,10.9,39.3,57309,7434,15246,2073,22.9,77.1,14.4,2,2,"Atascosa County, TX",8086,989312,"817.3"
48015,"Austin","TX",26,0,0,0,0,0,0,5000,NA,30032,28417,40.7,78.8,9.4,0.5,0.4,0,2.2,8.8,33.7,68311,3312,10837,1085,16,84,23.9,1,1,"Austin County, TX",6061,606805,"998.8"
48017,"Bailey","TX",0,0,0,0,0,0,0,2729,NA,7000,7165,32.5,75.3,1.2,1.4,0.4,0.1,2,19.6,71.2,46174,1093,2468,298,23.1,76.9,17.2,NA,0,"Bailey County, TX",1352,152921,"884.1"
48019,"Bandera","TX",118,0,0,0,0,0,0,0,NA,23112,20485,48.8,92.8,0.5,0.8,0.3,0,1.8,3.8,0,59604,2947,8564,578,10.7,89.3,22.8,NA,0,"Bandera County, TX",4391,448206,"979.7"
