"FIPS","X","state","state.abb","psych.st","rehab.st","genhosp.lt","psych.lt","rehab.lt","popjuvy.10","poppsych.10","psych.st.days","rehab.st.days","genhosp.lt.days","psych.lt.days","rehab.lt.days","er.visits","suicides.17.19","pop","pop.10","medage.10","percwhite.10","percblack.10","percamind.10","percasian.10","percpi.10","perctwoormore.10","percother.10","percurban.10","medhhincome","personsimpoverished","households.10","singleparenthouseholds.10","perclessthanhs.15","percwithhsormore.15","fouryearscollege.15","skateparks","perchisp.10","impoverishedpc"
1001,1,"Autauga","AL",0,0,0,0,0,0,0,0,0,0,0,0,33761,10,55869,54571,37,78.5,17.7,0.4,0.9,0.1,1.6,0.9,58,58233,6723,20221,2379,11.5,88.5,26.6,0,2.4,0.120335069537668
1003,2,"Baldwin","AL",1,0,0,0,0,48,0,14246,0,0,0,0,71202,41,223234,182265,41.1,85.7,9.4,0.7,0.7,0,1.5,2,57.7,59871,22360,73180,7120,9.2,90.8,31.9,0,3.5,0.100163953519625
1005,3,"Barbour","AL",0,0,0,0,0,0,0,0,0,0,0,0,6931,NA,24686,27457,39,48,46.9,0.4,0.4,0.1,0.9,3.3,32.2,35972,5909,9820,1598,26.8,73.2,11.6,0,4.2,0.239366442518026
1007,4,"Bibb","AL",0,0,0,0,0,70,0,0,0,0,0,0,6043,NA,22394,22915,37.8,75.8,22,0.3,0.1,0.1,0.9,0.8,31.6,47918,4101,7953,963,20.9,79.1,10.4,0,1.7,0.183129409663303
1009,5,"Blount","AL",0,0,0,0,0,0,0,0,0,0,0,0,15105,12,57826,57322,39,92.6,1.3,0.5,0.2,0.1,1.2,4.1,10,52902,9324,21578,1854,19.5,80.5,13.1,0,5.30000000000001,0.161242347732854
1011,6,"Bullock","AL",0,0,0,0,0,0,0,0,0,0,0,0,3461,NA,10101,10914,38.5,23,70.2,0.2,0.2,0.4,0.8,5.2,48.6,31906,2537,3745,795,25.3,74.7,12.1,0,6,0.251163251163251
1013,7,"Butler","AL",0,0,0,0,0,0,0,0,0,0,0,0,4678,NA,19448,20947,40.1,54.4,43.4,0.3,0.8,0,0.8,0.2,28.8,39944,4124,8491,1324,15,85,16.1,0,1.1,0.212052653229124
1015,8,"Calhoun","AL",0,0,0,0,0,136,20,0,0,0,0,0,60445,24,113605,118572,38.2,74.9,20.6,0.5,0.7,0.1,1.7,1.6,66.3,47747,18988,47331,5870,15.6,84.4,18.5,0,3.19999999999999,0.167140530786497
1017,9,"Chambers","AL",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,33254,34215,41.5,58.8,38.7,0.2,0.5,0,1.1,0.6,50.9,42015,6415,13933,2026,18.4,81.6,13.3,0,1.8,0.19290912371444
1019,10,"Cherokee","AL",0,0,0,0,0,0,0,0,0,0,0,0,2689,NA,26196,25989,43.9,92.7,4.6,0.5,0.2,0,1.5,0.5,14.3,45982,4121,10626,970,18.4,81.6,12.8,0,2,0.157314093754772
1021,11,"Chilton","AL",0,0,0,0,0,0,0,0,0,0,0,0,19135,NA,44428,43643,37.6,84.1,9.7,0.4,0.3,0.1,1.2,4.2,13.3,49692,7044,16558,1818,18.2,81.8,12.7,0,5.40000000000001,0.158548663005312
1023,12,"Choctaw","AL",0,0,0,0,0,0,0,0,0,0,0,0,2431,NA,12589,13859,43.4,55.8,43.4,0.1,0.1,0,0.4,0.2,0,39808,2811,5866,667,18.6,81.4,11.9,0,0.600000000000004,0.223290173961395
1025,13,"Clarke","AL",0,0,0,0,0,0,0,0,0,0,0,0,9409,NA,23622,25833,40.2,54.5,43.9,0.4,0.3,0,0.7,0.3,24,43822,4281,10337,1463,19.4,80.6,12.2,0,0.900000000000001,0.181229362458725
1027,14,"Clay","AL",0,0,0,0,0,0,0,0,0,0,0,0,3086,NA,13235,13932,42,81.7,14.8,0.4,0.2,0,1.7,1.2,0,40562,2156,5670,624,23.3,76.7,10.6,1,2.9,0.16290139780884
1029,15,"Cleburne","AL",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,14910,14972,40.6,94,3.3,0.3,0.2,0.1,1.1,1,0,51276,1945,5891,545,21,79,15.4,0,2.1,0.130449362843729
1031,16,"Coffee","AL",0,0,0,0,0,0,0,0,0,0,0,0,31529,NA,52342,49948,37.6,74.7,16.7,1.3,1.3,0.2,2.5,3.2,52.8,57299,7734,19849,2216,14.1,85.9,22.8,1,5.8,0.147758969852126
1033,17,"Colbert","AL",0,0,0,0,0,6,0,0,0,0,0,0,45466,12,55241,54428,41.8,80.5,16.1,0.5,0.4,0,1.6,0.9,56.1,46683,7998,22773,2448,14.8,85.2,18.1,1,2.5,0.144783765681287
1035,18,"Conecuh","AL",0,0,0,0,0,0,0,0,0,0,0,0,945,NA,12067,13228,43,51.3,46.5,0.3,0.1,0,1,0.7,19.1,41539,2662,5625,854,15.7,84.3,12.8,0,1.8,0.220601640838651
1037,19,"Coosa","AL",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,10663,11539,44.2,66.3,31,0.3,0.1,0.1,0.9,1.2,0,42024,1789,4794,549,20,80,12.8,0,2.2,0.167776423145456
1039,20,"Covington","AL",0,0,0,0,0,0,0,0,0,0,0,0,25812,NA,37049,37765,42.4,84.8,12.5,0.6,0.4,0,1.4,0.4,30.3,44836,6269,15531,1696,16.6,83.4,15.3,0,1.7,0.169208345704337
1041,21,"Crenshaw","AL",0,0,0,0,0,0,0,0,0,0,0,0,5078,NA,13772,13906,40.7,72.6,23.4,0.4,1.4,0.1,1.5,0.7,0,43309,2289,5652,681,20.8,79.2,17.4,0,2.10000000000001,0.16620679639849
1043,22,"Cullman","AL",0,0,0,0,0,36,0,0,0,0,0,0,44328,17,83768,80406,39.9,94.7,1.1,0.5,0.4,0,1.1,2.2,26.8,50897,10088,31864,2908,18.4,81.6,13.9,0,3.3,0.120427848343043
1045,23,"Dale","AL",0,0,0,0,0,10,0,0,0,0,0,0,19627,11,49172,50251,36.1,74.1,19.3,0.7,1.1,0.1,3,1.8,49.1,45120,8727,20065,2567,13.9,86.1,18.1,1,4.7,0.177479053119662
1047,24,"Dallas","AL",0,0,0,0,0,56,0,0,0,0,0,0,25330,NA,37196,43820,37.7,29.1,69.4,0.2,0.3,0,0.7,0.2,54.4,34034,9533,17064,3580,18.2,81.8,14.7,0,1,0.256290999032154
1049,25,"DeKalb","AL",0,0,0,0,0,4,0,0,0,0,0,0,27063,19,71513,71109,37.5,84.5,1.5,1.4,0.3,0.2,2.2,9.9,9.9,44277,12848,26842,2760,25.2,74.8,13,0,12.1,0.179659642302798
